ranking,name,profile,position,age,nationality,flag,club,club_logo,market_value
12,Joshua Kimmich,https://img.a.transfermarkt.technology/portrait/small/161056-1570373037.jpg?lm=1,Defensive Midfield,26,Germany,https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525,Bayern Munich,https://tmssl.akamaized.net/images/wappen/verysmall/27.png?lm=1498251238,€90.00m
13,Jan Oblak,https://img.a.transfermarkt.technology/portrait/small/121483-1599986864.jpg?lm=1,Goalkeeper,28,Slovenia,https://tmssl.akamaized.net/images/flagge/verysmall/155.png?lm=1520611569,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/verysmall/13.png?lm=1519120744,€90.00m
14,Romelu Lukaku,https://img.a.transfermarkt.technology/portrait/small/96341-1596033546.jpg?lm=1,Centre-Forward,27,Belgium,https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569,Inter Milan,https://tmssl.akamaized.net/images/wappen/verysmall/46.png?lm=1617228474,€90.00m
15,Marcus Rashford,https://img.a.transfermarkt.technology/portrait/small/258923-1565603308.png?lm=1,Left Winger,23,England,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,Manchester United,https://tmssl.akamaized.net/images/wappen/verysmall/985.png?lm=1457975903,€85.00m
16,Heung-min Son,https://img.a.transfermarkt.technology/portrait/small/91845-1599987413.jpg?lm=1,Left Winger,28,"Korea, South",https://tmssl.akamaized.net/images/flagge/verysmall/87.png?lm=1520611569,Tottenham Hotspur,https://tmssl.akamaized.net/images/wappen/verysmall/148.png?lm=1544345801,€85.00m
17,Ansu Fati,https://img.a.transfermarkt.technology/portrait/small/466810-1560761660.jpg?lm=1,Left Winger,18,Spain,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,FC Barcelona,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,€80.00m
18,João Félix,https://img.a.transfermarkt.technology/portrait/small/462250-1574866535.jpg?lm=1,Second Striker,21,Portugal,https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/verysmall/13.png?lm=1519120744,€80.00m
19,Frenkie de Jong,https://img.a.transfermarkt.technology/portrait/small/326330-1599987876.jpg?lm=1,Central Midfield,23,Netherlands,https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569,FC Barcelona,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,€80.00m
20,Lionel Messi,https://img.a.transfermarkt.technology/portrait/small/28003-1604164452.png?lm=1,Right Winger,33,Argentina,https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569,FC Barcelona,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,€80.00m
21,Alphonso Davies,https://img.a.transfermarkt.technology/portrait/small/424204-1570372661.jpg?lm=1,Left-Back,20,Canada,https://tmssl.akamaized.net/images/flagge/verysmall/80.png?lm=1520611569,Bayern Munich,https://tmssl.akamaized.net/images/wappen/verysmall/27.png?lm=1498251238,€75.00m
22,Matthijs de Ligt,https://img.a.transfermarkt.technology/portrait/small/326031-1568111537.jpg?lm=1,Centre-Back,21,Netherlands,https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569,Juventus FC,https://tmssl.akamaized.net/images/wappen/verysmall/506.png?lm=1594291454,€75.00m
23,Thibaut Courtois,https://img.a.transfermarkt.technology/portrait/small/108390-1572942947.jpg?lm=1,Goalkeeper,28,Belgium,https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569,Real Madrid,https://tmssl.akamaized.net/images/wappen/verysmall/418.png?lm=1580722449,€75.00m
